iter	Logloss
127	0.4896809553
128	0.4885257266
129	0.4879612362
130	0.4866788537
131	0.486371493
132	0.4861649083
133	0.4855453608
134	0.4849358664
135	0.48426741
136	0.4835754733
137	0.482985782
138	0.4825161337
139	0.4816876224
140	0.4812920658
141	0.4805530981
142	0.4794468424
143	0.4784005786
144	0.4781055277
145	0.4773179106
146	0.4771110699
147	0.4763855722
148	0.4754651055
149	0.4745909978
150	0.473994727
151	0.4734432667
152	0.472504958
153	0.4719010893
154	0.4717668526
155	0.4710824328
156	0.4703556105
157	0.469916881
158	0.4695092927
159	0.468872634
160	0.4680411195
161	0.4673944293
162	0.4666981652
163	0.4658272788
164	0.4655212363
165	0.4650740429
166	0.4641613187
167	0.4634364212
168	0.4627326236
169	0.4620457505
170	0.4612354738
171	0.4606663149
172	0.4601086218
173	0.4594128703
174	0.4584827715
175	0.4579746768
176	0.4575563306
177	0.4572526992
178	0.456956763
179	0.4566282699
180	0.4562538953
181	0.4556061514
182	0.4554856477
183	0.4548058461
184	0.4539589023
185	0.4538331807
186	0.4535793546
187	0.4531829414
188	0.4527265357
189	0.4523225384
190	0.451883309
191	0.4509011715
192	0.4501889389
193	0.4499741666
194	0.4495385183
195	0.4492885536
196	0.4486768626
197	0.4481691571
198	0.4477263879
199	0.4474558467
200	0.4471516872
201	0.4467009464
202	0.4463050254
203	0.4458349723
204	0.4452773977
205	0.4449848463
206	0.4444102143
207	0.4440570483
208	0.4436174044
209	0.4432392462
210	0.442619291
211	0.4421281616
212	0.441637194
213	0.441164015
214	0.4411583889
215	0.4405074162
216	0.4399147799
217	0.4395469496
218	0.4392136685
219	0.4388887235
220	0.4385903325
221	0.4382417824
222	0.4375614321
223	0.4372264754
224	0.4365557098
225	0.4360513713
226	0.4354934642
227	0.435110657
228	0.4345508566
229	0.4338886551
230	0.4336526559
231	0.4334212607
232	0.4332091226
233	0.4326121695
234	0.432388592
235	0.4321586359
236	0.4317135418
237	0.431212885
238	0.4311393002
239	0.431024661
240	0.4305382087
241	0.4296641524
242	0.4291971657
243	0.4287368338
244	0.4285743633
245	0.4283815853
246	0.4282731514
247	0.4282184584
248	0.4281390301
249	0.4275359069
250	0.4272650511
251	0.4266936054
252	0.4265863721
253	0.426191572
254	0.4259254311
255	0.4255136193
256	0.425167803
257	0.4246362509
258	0.4243964223
259	0.4241837362
260	0.4240817206
261	0.4235943443
262	0.4232226421
263	0.4231438434
264	0.4226887193
265	0.422218668
266	0.4220599715
267	0.4216002995
268	0.4214334468
269	0.421218617
270	0.4211094464
271	0.4204796126
272	0.4197682818
273	0.4193887381
274	0.4190407413
275	0.4188559457
276	0.4187153791
277	0.4182628194
278	0.4179708487
279	0.4177549237
280	0.4174780145
281	0.4170492765
282	0.4167221333
283	0.4164559611
284	0.4163020551
285	0.4157818221
286	0.4154425634
287	0.4148130744
288	0.4146338159
289	0.4145739754
290	0.4141879857
291	0.4136751628
292	0.4133005615
293	0.4131187255
294	0.4128486512
295	0.4123562914
296	0.4119489649
297	0.4117753132
298	0.4116464833
299	0.4112410759
300	0.4111560792
301	0.4109233017
302	0.4107960087
303	0.4105785531
304	0.4102476269
305	0.4099727572
306	0.4097158857
307	0.4091930083
308	0.4090071037
309	0.4088404926
310	0.4087485691
311	0.4085121352
312	0.4081752018
313	0.4080141055
314	0.4075608247
315	0.4071640827
316	0.4067089408
317	0.4063492854
318	0.4062100792
319	0.4059997906
320	0.405575421
321	0.4053877161
322	0.4052339986
323	0.4049518539
324	0.4046768572
325	0.4045730532
326	0.4044990644
327	0.4039742581
328	0.4034614531
329	0.4031755587
330	0.402241089
331	0.4021182852
332	0.4017120077
333	0.4014877369
334	0.4012361119
335	0.400947215
336	0.4006334502
337	0.4003767535
338	0.4003655717
339	0.4001230755
340	0.3996243291
341	0.399350338
342	0.3990770292
343	0.3988836466
344	0.3985551329
345	0.3985213442
346	0.3983804514
347	0.3981947271
348	0.3981075557
349	0.3979687778
350	0.3976399969
351	0.397432675
352	0.3971688019
353	0.3970681748
354	0.3969671957
355	0.3966551028
356	0.3965945087
357	0.3961400969
358	0.3960288306
359	0.3955077291
360	0.3952422383
361	0.3950415232
362	0.3946121736
363	0.3942148716
364	0.3940975243
365	0.3939877794
366	0.3935547468
367	0.3933729059
368	0.3932251545
369	0.3929377982
370	0.3927005453
371	0.3923470287
372	0.3920370015
373	0.3919533872
374	0.3918329171
375	0.3917265159
376	0.3910304218
377	0.3908331735
378	0.3906631318
379	0.3903837058
380	0.3900559782
381	0.3900559731
382	0.3899658893
383	0.3899313503
384	0.3896303388
385	0.3892579987
386	0.3890933966
387	0.3887650859
388	0.3884898419
389	0.3882883656
390	0.3881608609
391	0.3880413639
392	0.3875848639
393	0.3873656952
394	0.3870631647
395	0.3868525444
396	0.3867184214
397	0.3865942059
398	0.3865563868
399	0.3862906308
400	0.3862048439
401	0.3859543511
402	0.3858913515
403	0.3854167156
404	0.3853198766
405	0.3852511273
406	0.3850270813
407	0.3848252008
408	0.3846813016
409	0.3843829611
410	0.3840034034
411	0.3837173811
412	0.3831811709
413	0.3830886881
414	0.3830048497
415	0.3827445812
416	0.3826730789
417	0.382444111
418	0.3820830311
419	0.3816426199
420	0.381540659
421	0.3812728536
422	0.3810090764
423	0.3806830819
424	0.3803774938
425	0.38025174
426	0.3801063762
427	0.3798805301
428	0.3794895369
429	0.3792320855
430	0.3788781572
431	0.3786052118
432	0.3782935956
433	0.3782400491
434	0.3779531779
435	0.3779300857
436	0.3775713612
437	0.3771641041
438	0.3769341523
439	0.3768107092
440	0.3766029032
441	0.3765326443
442	0.3762828336
443	0.3762279241
444	0.3761190031
445	0.3760548562
446	0.3757877184
447	0.3754690908
448	0.3753117562
449	0.3751232233
450	0.3748153578
451	0.3747282187
452	0.3746734615
453	0.3743584819
454	0.3742584943
455	0.3739420499
456	0.3737125252
457	0.3736674667
458	0.373534204
459	0.373359212
460	0.3728079594
461	0.3725169493
462	0.3724688528
463	0.3724245834
464	0.3720711013
465	0.3718542649
466	0.3718513978
467	0.3716221176
468	0.3715811869
469	0.371560347
470	0.3715192084
471	0.3711598838
472	0.3710623015
473	0.3707047749
474	0.3705773343
475	0.3705396424
476	0.3704098512
477	0.3703360164
478	0.370164557
479	0.3700450302
480	0.3699326323
481	0.3698502447
482	0.3696665174
483	0.3695314742
484	0.3692956465
485	0.3690796464
486	0.3689176968
487	0.3688646544
488	0.3687789795
489	0.36870157
490	0.3685349941
491	0.3681977235
492	0.3678785
493	0.3678784819
494	0.3677575057
495	0.3676703452
496	0.3675227908
497	0.3671410635
498	0.3669304786
499	0.3667977967
500	0.3666289489
501	0.3666288519
502	0.3663888736
503	0.3662546875
504	0.3660909992
505	0.365916678
506	0.3658220537
507	0.3656458235
508	0.3653556774
509	0.3652241771
510	0.364908215
511	0.364779952
512	0.3646779064
513	0.3644081722
514	0.3642965488
515	0.364087929
516	0.3637454067
517	0.363546569
518	0.3632962697
519	0.3632583666
520	0.3631095535
521	0.3629040872
522	0.3627588676
523	0.3626223283
524	0.3623563713
525	0.3623295088
526	0.3621505016
527	0.3620336873
528	0.3618675334
529	0.3618010513
530	0.3614040079
531	0.3612764363
532	0.3610266577
533	0.3608878702
534	0.3604645012
535	0.3600643744
536	0.359796917
537	0.3596536321
538	0.3590969771
539	0.3589084903
540	0.3586765039
541	0.3583398191
542	0.35821739
543	0.3579237469
544	0.3578343444
545	0.357636524
546	0.3569538043
547	0.3567859191
548	0.3567090829
549	0.3565039013
550	0.356373426
551	0.3561356349
552	0.355821457
553	0.3555536941
554	0.3553619194
555	0.3552957755
556	0.3551431971
557	0.3549509773
558	0.3547750204
559	0.3545219256
560	0.3541206403
561	0.3538674926
562	0.3537172776
563	0.3534903359
564	0.3533215268
565	0.3531763544
566	0.3529828112
567	0.3526620093
568	0.3525543658
569	0.3524152936
570	0.3522899647
571	0.3521899113
572	0.351981932
573	0.3519398063
574	0.3519249382
575	0.3516922247
576	0.3515776572
577	0.3513818095
578	0.3513380982
579	0.3510329927
580	0.3508300608
581	0.3504772217
582	0.3502917413
583	0.3501136113
584	0.3497982997
585	0.3495286818
586	0.3492948935
587	0.3491599149
588	0.3487572583
589	0.3484887199
590	0.3482979877
591	0.348049977
592	0.347786475
593	0.3475438014
594	0.3474724519
595	0.3473757146
596	0.3471942953
597	0.3470412278
598	0.3467310052
599	0.3464456203
600	0.3463508948
601	0.3460215575
602	0.3458024608
603	0.3453920844
604	0.3450926554
605	0.3444289844
606	0.3441791106
607	0.3440556055
608	0.3439053435
609	0.3437398995
610	0.3435187762
611	0.3434266459
612	0.3433067693
613	0.343029805
614	0.3427786017
615	0.3427661082
616	0.3425264672
617	0.3423753649
618	0.3419860981
619	0.3416141214
620	0.341491556
621	0.3411449364
622	0.3408043495
623	0.3407850495
624	0.3406083471
625	0.3403866542
626	0.3401413034
627	0.3398890676
628	0.3398073812
629	0.339605364
630	0.3395573322
631	0.3394622828
632	0.3393161682
633	0.3391849471
634	0.3390516947
635	0.3389695488
636	0.3388005289
637	0.338518948
638	0.3384333067
639	0.3380019007
640	0.3378067805
641	0.3375532741
642	0.3373811882
643	0.3371659924
644	0.3370852314
645	0.3369597047
646	0.3367028193
647	0.3363200346
648	0.3362627201
649	0.3361488326
650	0.3360409651
651	0.3359313284
652	0.3357860876
653	0.3356108783
654	0.3355179787
655	0.3352709388
656	0.3349875468
657	0.33491523
658	0.3347913062
659	0.334590319
660	0.3345110514
661	0.3344200871
662	0.334364925
663	0.3342271649
664	0.3341334133
665	0.3339349856
666	0.3337931896
667	0.3336084672
668	0.3333546385
669	0.3332410582
670	0.3331328957
671	0.3330326248
672	0.3326110682
673	0.3325524099
674	0.3324169057
675	0.3320281379
676	0.3319918515
677	0.3319193676
678	0.3316323235
679	0.331519454
680	0.3313307624
681	0.3311228315
682	0.3310096564
683	0.3306988655
684	0.3305736713
685	0.330502674
686	0.3302687775
687	0.3300398738
688	0.3299283762
689	0.3294628646
690	0.3292186993
691	0.3290711723
692	0.3289467608
693	0.32875009
694	0.3282128052
695	0.3280688748
696	0.3278888638
697	0.3276698257
698	0.3275159769
699	0.3274016807
