iter	Passed	Remaining
0	19	375
1	36	327
2	51	291
3	66	267
4	82	248
5	99	232
6	117	217
7	130	195
8	143	175
9	154	154
10	168	137
11	181	121
12	196	106
13	207	88
14	219	73
15	233	58
16	246	43
17	257	28
18	275	14
19	286	0
